Gene Symbol	CHR	Start	end	Strand	Ensembl ID	Gene Type	Also Known As	Cytogenetic Region	Description	Summary
FADS1	chr11	61799625	61829318	-	ENSG00000149485.18	protein_coding	D5D|FADS6|FADSD5|LLCDL1|TU12	11q12.2	fatty acid desaturase 1	The protein encoded by this gene is a member of the fatty acid desaturase (FADS) gene family. Desaturase enzymes regulate unsaturation of fatty acids through the introduction of double bonds between defined carbons of the fatty acyl chain. FADS family members are considered fusion products composed of an N-terminal cytochrome b5-like domain and a C-terminal multiple membrane-spanning desaturase portion, both of which are characterized by conserved histidine motifs. This gene is clustered with family members FADS1 and FADS2 at 11q12-q13.1; this cluster is thought to have arisen evolutionarily from gene duplication based on its similar exon/intron organization. [provided by RefSeq, Jul 2008]
FADS2	chr11	61792980	61867354	+	ENSG00000134824.13	protein_coding	D6D|DES6|FADSD6|LLCDL2|SLL0262|TU13	11q12.2	fatty acid desaturase 2	The protein encoded by this gene is a member of the fatty acid desaturase (FADS) gene family. Desaturase enzymes regulate unsaturation of fatty acids through the introduction of double bonds between defined carbons of the fatty acyl chain. FADS family members are considered fusion products composed of an N-terminal cytochrome b5-like domain and a C-terminal multiple membrane-spanning desaturase portion, both of which are characterized by conserved histidine motifs. This gene is clustered with family members at 11q12-q13.1; this cluster is thought to have arisen evolutionarily from gene duplication based on its similar exon/intron organization. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2013]
FADS3	chr11	61873519	61892051	-	ENSG00000221968.8	protein_coding	CYB5RP|LLCDL3	11q12.2	fatty acid desaturase 3	The protein encoded by this gene is a member of the fatty acid desaturase (FADS) gene family. Desaturase enzymes regulate unsaturation of fatty acids through the introduction of double bonds between defined carbons of the fatty acyl chain. FADS family members are considered fusion products composed of an N-terminal cytochrome b5-like domain and a C-terminal multiple membrane-spanning desaturase portion, both of which are characterized by conserved histidine motifs. This gene is clustered with family members FADS1 and FADS2 at 11q12-q13.1; this cluster is thought to have arisen evolutionarily from gene duplication based on its similar exon/intron organization. [provided by RefSeq, Jul 2008]
FADS6	chr17	74877299	74893781	-	ENSG00000172782.11	protein_coding	FP18279	17q25.1	fatty acid desaturase 6	Biased expression in small intestine (RPKM 1.8), duodenum (RPKM 1.4) and 9 other tissues
FAF1	chr1	50437028	50960263	-	ENSG00000185104.19	protein_coding	CGI-03|HFAF1s|UBXD12|UBXN3A|hFAF1	1p32.3	Fas associated factor 1	Interaction of Fas ligand (TNFSF6) with the FAS antigen (TNFRSF6) mediates programmed cell death, also called apoptosis, in a number of organ systems. The protein encoded by this gene binds to FAS antigen and can initiate apoptosis or enhance apoptosis initiated through FAS antigen. Initiation of apoptosis by the protein encoded by this gene requires a ubiquitin-like domain but not the FAS-binding domain. [provided by RefSeq, Jul 2008]
FAF2	chr5	176447628	176510074	+	ENSG00000113194.12	protein_coding	ETEA|UBXD8|UBXN3B	5q35.2	Fas associated factor family member 2	The protein encoded by this gene is highly expressed in peripheral blood of patients with atopic dermatitis (AD), compared to normal individuals. It may play a role in regulating the resistance to apoptosis that is observed in T cells and eosinophils of AD patients. [provided by RefSeq, Jul 2008]
FAH	chr15	80152490	80186946	+	ENSG00000103876.11	protein_coding	-	15q25.1	fumarylacetoacetate hydrolase	Broad expression in liver (RPKM 62.1), fat (RPKM 60.9) and 20 other tissues
FAHD1	chr16	1826941	1840207	+	ENSG00000180185.11	protein_coding	C16orf36|YISKL	16p13.3	fumarylacetoacetate hydrolase domain containing 1	Broad expression in kidney (RPKM 20.6), liver (RPKM 9.9) and 23 other tissues
FAHD2A	chr2	95402721	95416616	+	ENSG00000115042.9	protein_coding	CGI-105	2q11.1	fumarylacetoacetate hydrolase domain containing 2A	Ubiquitous expression in testis (RPKM 6.4), thyroid (RPKM 6.0) and 25 other tissues
FAHD2B	chr2	97083583	97094882	-	ENSG00000144199.11	protein_coding	-	2q11.2	fumarylacetoacetate hydrolase domain containing 2B	-
FAHD2CP	chr2	96010551	96023380	+	ENSG00000231584.8	transcribed_unprocessed_pseudogene	-	2q11.2	fumarylacetoacetate hydrolase domain containing 2C, pseudogene	-
FAIM	chr3	138608606	138633376	+	ENSG00000158234.12	protein_coding	FAIM1	3q22.3	Fas apoptotic inhibitory molecule	The protein encoded by this gene protects against death receptor-triggered apoptosis and regulates B-cell signaling and differentiation. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2011]
FAIM2	chr12	49866896	49904217	-	ENSG00000135472.8	protein_coding	LFG|LFG2|NGP35|NMP35|TMBIM2	12q13.12	Fas apoptotic inhibitory molecule 2	Biased expression in brain (RPKM 125.6) and adrenal (RPKM 12.3)
FALEC	chr1	150515757	150518032	+	ENSG00000228126.1	lincRNA	FAL1|LINC00568|ncRNA-a1	1q21.2	focally amplified long non-coding RNA in epithelial cancer	Low expression observed in reference dataset
FAM102A	chr9	127940579	127980513	-	ENSG00000167106.11	protein_coding	C9orf132|EEIG1|SYM-3A|bA203J24.7	9q34.11	family with sequence similarity 102 member A	Ubiquitous expression in stomach (RPKM 55.4), small intestine (RPKM 33.1) and 25 other tissues
FAM102B	chr1	108560089	108644900	+	ENSG00000162636.15	protein_coding	SYM-3B	1p13.3	family with sequence similarity 102 member B	Ubiquitous expression in brain (RPKM 11.6), gall bladder (RPKM 11.3) and 24 other tissues
FAM104A	chr17	73207353	73236753	-	ENSG00000133193.12	protein_coding	-	17q25.1	family with sequence similarity 104 member A	-
FAM106A	chr17	18524566	18526846	-	ENSG00000213077.5	protein_coding	-	17p11.2	family with sequence similarity 106 member A	-
FAM107B	chr10	14518557	14774897	-	ENSG00000065809.13	protein_coding	C10orf45|HITS	10p13	family with sequence similarity 107 member B	Ubiquitous expression in lymph node (RPKM 45.0), kidney (RPKM 31.4) and 23 other tissues
FAM110A	chr20	833715	857463	+	ENSG00000125898.12	protein_coding	C20orf55|F10|bA371L19.3	20p13	family with sequence similarity 110 member A	Broad expression in skin (RPKM 6.2), spleen (RPKM 5.8) and 23 other tissues
FAM110C	chr2	38814	46870	-	ENSG00000184731.5	protein_coding	-	2p25.3	family with sequence similarity 110 member C	-
FAM110D	chr1	26159020	26163962	+	ENSG00000197245.5	protein_coding	GRRP1	1p36.11	family with sequence similarity 110 member D	Broad expression in fat (RPKM 4.8), lung (RPKM 1.8) and 21 other tissues
FAM111A	chr11	59142748	59155039	+	ENSG00000166801.15	protein_coding	GCLEB|KCS2	11q12.1	FAM111 trypsin like peptidase A	The protein encoded by this gene is cell-cycle regulated, and has nuclear localization. The C-terminal half of the protein shares homology with trypsin-like peptidases and it contains a PCNA-interacting peptide (PIP) box, that is necessary for its co-localization with proliferating cell nuclear antigen (PCNA). Reduced expression of this gene resulted in DNA replication defects, consistent with the demonstrated role for this gene in Simian Virus 40 (SV40) viral replication. Mutations in this gene have been associated with Kenny-Caffey syndrome (KCS) type 2 and the more severe osteocraniostenosis (OCS, also known as Gracile Bone Dysplasia), both characterized by short stature, hypoparathyroidism, bone development abnormalities, and hypocalcemia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2015]
FAM111B	chr11	59107185	59127410	+	ENSG00000189057.10	protein_coding	CANP|POIKTMP	11q12.1	FAM111 trypsin like peptidase B	This gene encodes a protein with a trypsin-like cysteine/serine peptidase domain in the C-terminus. Mutations in this gene are associated with an autosomal dominant form of hereditary fibrosing poikiloderma (HFP). Affected individuals display mottled pigmentation, telangiectasia, epidermal atrophy, tendon contractures, and progressive pulmonary fibrosis. Alternative splicing results in multiple transcript variants encoding distinct isoforms. A paralog of this gene which also has a trypsin&#8208;like peptidase domain, FAM111A, is located only 16 kb from this gene on human chromosome 11q12.1. [provided by RefSeq, Apr 2014]
FAM114A1	chr4	38867677	38945739	+	ENSG00000197712.11	protein_coding	Noxp20	4p14	family with sequence similarity 114 member A1	The protein encoded by this gene belongs to the FAM114 family and may play a role in neuronal cell development. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2017]
FAM114A2	chr5	153990128	154038936	-	ENSG00000055147.18	protein_coding	133K02|C5orf3	5q33.2	family with sequence similarity 114 member A2	Ubiquitous expression in testis (RPKM 7.5), thyroid (RPKM 3.3) and 25 other tissues
FAM117A	chr17	49710332	49789180	-	ENSG00000121104.7	protein_coding	-	17q21.33	family with sequence similarity 117 member A	-
FAM117B	chr2	202635188	202769757	+	ENSG00000138439.11	protein_coding	ALS2CR13	2q33.2	family with sequence similarity 117 member B	Ubiquitous expression in testis (RPKM 4.9), adrenal (RPKM 4.8) and 25 other tissues
FAM118A	chr22	45308968	45341955	+	ENSG00000100376.11	protein_coding	C22orf8	22q13.31	family with sequence similarity 118 member A	Enables identical protein binding activity. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]
FAM118B	chr11	126211414	126262986	+	ENSG00000197798.8	protein_coding	-	11q24.2	family with sequence similarity 118 member B	-
FAM120A	chr9	93451722	93566107	+	ENSG00000048828.16	protein_coding	C9orf10|HBVPTPAP|OSSA	9q22.31	family with sequence similarity 120A	Ubiquitous expression in colon (RPKM 25.6), appendix (RPKM 19.9) and 25 other tissues
FAM120AOS	chr9	93446494	93453592	-	ENSG00000188938.15	protein_coding	C9orf10OS	9q22.31	family with sequence similarity 120A opposite strand	Differences in the expression level of this gene are associated with the survival rate of those with glioma. [provided by RefSeq, May 2017]
FAM120B	chr6	170290703	170407065	+	ENSG00000112584.13	protein_coding	CCPG|KIAA1838|PGCC1|SAN1|dJ894D12.1	6q27	family with sequence similarity 120B	Ubiquitous expression in brain (RPKM 5.9), thyroid (RPKM 5.7) and 25 other tissues
FAM124A	chr13	51222334	51284241	+	ENSG00000150510.16	protein_coding	-	13q14.3	family with sequence similarity 124 member A	-
FAM124B	chr2	224378698	224402085	-	ENSG00000124019.9	protein_coding	-	2q36.2	family with sequence similarity 124 member B	-
FAM126A	chr7	22889371	23014130	-	ENSG00000122591.11	protein_coding	DRCTNNB1A|HCC|HLD5|HYCC1	7p15.3	family with sequence similarity 126 member A	The protein encoded by this gene may play a part in the beta-catenin/Lef signaling pathway. Expression of this gene is down-regulated by beta-catenin. Defects in this gene are a cause of hypomyelination with congenital cataract (HCC). [provided by RefSeq, Oct 2008]
FAM126B	chr2	200973718	201071671	-	ENSG00000155744.9	protein_coding	HYCC2	2q33.1	family with sequence similarity 126 member B	Ubiquitous expression in brain (RPKM 5.2), fat (RPKM 4.3) and 25 other tissues
FAM131A	chr3	184335926	184348421	+	ENSG00000175182.14	protein_coding	C3orf40|FLAT715|PRO1378	3q27.1	family with sequence similarity 131 member A	Ubiquitous expression in brain (RPKM 19.8), adrenal (RPKM 6.0) and 23 other tissues
FAM131B	chr7	143353400	143362770	-	ENSG00000159784.17	protein_coding	-	7q34	family with sequence similarity 131 member B	-
FAM131C	chr1	16057769	16073632	-	ENSG00000185519.8	protein_coding	C1orf117	1p36.13	family with sequence similarity 131 member C	Biased expression in kidney (RPKM 2.5), brain (RPKM 1.7) and 10 other tissues
FAM133B	chr7	92560793	92590394	-	ENSG00000234545.7	protein_coding	-	7q21.2	family with sequence similarity 133 member B	-
FAM135A	chr6	70412941	70561174	+	ENSG00000082269.16	protein_coding	KIAA1411	6q13	family with sequence similarity 135 member A	Broad expression in esophagus (RPKM 17.6), prostate (RPKM 12.9) and 22 other tissues
FAM136A	chr2	70295975	70302090	-	ENSG00000035141.7	protein_coding	-	2p13.3	family with sequence similarity 136 member A	Ubiquitous expression in duodenum (RPKM 18.8), thyroid (RPKM 18.0) and 25 other tissues
FAM13A	chr4	88725955	89111398	-	ENSG00000138640.14	protein_coding	ARHGAP48|FAM13A1	4q22.1	family with sequence similarity 13 member A	Ubiquitous expression in fat (RPKM 21.4), thyroid (RPKM 14.6) and 25 other tissues
FAM13B	chr5	137937960	138051961	-	ENSG00000031003.10	protein_coding	ARHGAP49|C5orf5|FAM13B1|KHCHP|N61	5q31.2	family with sequence similarity 13 member B	Ubiquitous expression in testis (RPKM 17.1), endometrium (RPKM 11.7) and 25 other tissues
FAM13C	chr10	59246129	59363181	-	ENSG00000148541.12	protein_coding	FAM13C1	10q21.1	family with sequence similarity 13 member C	Broad expression in brain (RPKM 29.0), adrenal (RPKM 16.8) and 21 other tissues
FAM149A	chr4	186104419	186172667	+	ENSG00000109794.13	protein_coding	MST119|MSTP119	4q35.1	family with sequence similarity 149 member A	Broad expression in kidney (RPKM 4.2), liver (RPKM 2.3) and 22 other tissues
FAM149B1	chr10	73168166	73244504	+	ENSG00000138286.14	protein_coding	JBTS36|KIAA0974	10q22.2	family with sequence similarity 149 member B1	Ubiquitous expression in testis (RPKM 10.1), brain (RPKM 6.8) and 25 other tissues
FAM151A	chr1	54609182	54623556	-	ENSG00000162391.11	protein_coding	C1orf179	-	family with sequence similarity 151 member A	Biased expression in kidney (RPKM 135.9), small intestine (RPKM 34.8) and 1 other tissue
FAM153A	chr5	177707981	177783398	-	ENSG00000170074.19	protein_coding	NY-REN-7	5q35.3	family with sequence similarity 153 member A	Biased expression in testis (RPKM 10.8), spleen (RPKM 4.8) and 7 other tissues
FAM153B	chr5	176060689	176132258	+	ENSG00000182230.11	protein_coding	-	5q35.2	family with sequence similarity 153 member B	-
FAM153CP	chr5	 178007692	178063588	+	ENSG00000204677	pseudogene	FAM153C|NY-REN-7-like	5q35.3	protein FAM153C	FAM153C; NY-REN-7-like
FAM157B	chr9	138217068	138253217	+	ENSG00000233013.9	transcribed_unprocessed_pseudogene	-	9q34.3	family with sequence similarity 157 member B	-
FAM157C	chr16	90102271	90178344	+	ENSG00000260528.4	lincRNA	-	16q24.3	family with sequence similarity 157 member C	-
FAM161A	chr2	61824854	61854143	-	ENSG00000170264.12	protein_coding	RP28	2p15	FAM161 centrosomal protein A	This gene belongs to the FAM161 family. It is expressed mainly in the retina. Mouse studies suggested that this gene is involved in development of retinal progenitors during embryogenesis, and that its activity is restricted to mature photoreceptors after birth. Mutations in this gene cause autosomal recessive retinitis pigmentosa-28. Alternatively spliced transcript variants have been identified.[provided by RefSeq, Jan 2011]
FAM161B	chr14	73931501	73950414	-	ENSG00000156050.8	protein_coding	C14orf44|c14_5547	14q24.3	FAM161 centrosomal protein B	Ubiquitous expression in testis (RPKM 8.1), brain (RPKM 7.4) and 25 other tissues
FAM162A	chr3	122384176	122412334	+	ENSG00000114023.15	protein_coding	C3orf28|E2IG5|HGTD-P	3q21.1	family with sequence similarity 162 member A	Ubiquitous expression in colon (RPKM 86.7), esophagus (RPKM 60.9) and 25 other tissues
FAM162B	chr6	116752197	116765723	-	ENSG00000183807.7	protein_coding	C6orf189|bA86F4.2	6q22.1	family with sequence similarity 162 member B	Biased expression in placenta (RPKM 28.7), lung (RPKM 9.9) and 9 other tissues
FAM166A	chr9	137243584	137247770	-	ENSG00000188163.7	protein_coding	HSD46	9q34.3	family with sequence similarity 166 member A	Broad expression in duodenum (RPKM 20.3), testis (RPKM 18.9) and 21 other tissues
FAM166AP4	chr1	227509028	227510618	-	ENSG00000227711.3	unprocessed_pseudogene	-	-	-	-
FAM166B	chr9	35561831	35563899	-	ENSG00000215187.10	protein_coding	-	9p13.3	family with sequence similarity 166 member B	-
FAM166C	chr2	 26562587	26579524	+	ENSG00000173557	protein-coding	C2orf70	2p23.3	family with sequence similarity 166 member C	Biased expression in testis (RPKM 1.4), stomach (RPKM 0.9) and 7 other tissues
FAM167A	chr8	11421463	11474715	-	ENSG00000154319.14	protein_coding	C8orf13|D8S265|DIORA-1	8p23.1	family with sequence similarity 167 member A	Biased expression in thyroid (RPKM 28.9), brain (RPKM 11.5) and 4 other tissues
FAM167A-AS1	chr8	11368402	11438658	+	ENSG00000184608.8	antisense	C8orf12	8p23.1	FAM167A antisense RNA 1	Low expression observed in reference dataset
FAM167B	chr1	32247233	32248856	+	ENSG00000183615.5	protein_coding	C1orf90|DIORA-2	1p35.2	family with sequence similarity 167 member B	Broad expression in kidney (RPKM 5.2), lung (RPKM 3.9) and 21 other tissues
FAM168A	chr11	73400487	73598189	-	ENSG00000054965.10	protein_coding	KIAA0280|TCRP1	11q13.4	family with sequence similarity 168 member A	Ubiquitous expression in brain (RPKM 45.1), gall bladder (RPKM 10.1) and 24 other tissues
FAM169A	chr5	74777574	74866951	-	ENSG00000198780.11	protein_coding	SLAP75	5q13.3	family with sequence similarity 169 member A	Broad expression in brain (RPKM 10.3), testis (RPKM 7.3) and 15 other tissues
FAM169B	chr15	98437162	98547728	-	ENSG00000283597.2	protein_coding	-	15q26.3	protein FAM169B	Low expression observed in reference dataset
FAM170B	chr10	49131154	49134008	-	ENSG00000172538.6	protein_coding	C10orf73	10q11.23	family with sequence similarity 170 member B	Restricted expression toward testis (RPKM 3.2)
FAM171A2	chr17	44353215	44363875	-	ENSG00000161682.14	protein_coding	-	17q21.31	family with sequence similarity 171 member A2	-
FAM171B	chr2	186693971	186765965	+	ENSG00000144369.12	protein_coding	KIAA1946	2q32.1	family with sequence similarity 171 member B	Biased expression in brain (RPKM 53.2), adrenal (RPKM 8.4) and 4 other tissues
FAM172A	chr5	93618069	94111699	-	ENSG00000113391.18	protein_coding	C5orf21|Toupee	5q15	family with sequence similarity 172 member A	Ubiquitous expression in thyroid (RPKM 1.6), brain (RPKM 1.6) and 25 other tissues
FAM172BP	chr3	101521891	101522979	+	ENSG00000175841.8	processed_pseudogene	FAM172B	3q12.3	family with sequence similarity 172 member B, pseudogene	Predicted to contribute to siRNA binding activity. Predicted to be involved in heterochromatin assembly by small RNA. Predicted to be integral component of membrane. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Apr 2022]
FAM174A	chr5	100535305	100586741	+	ENSG00000174132.8	protein_coding	HGS_RE408|NS5ATP6|TMEM157|UNQ1912	5q21.1	family with sequence similarity 174 member A	Ubiquitous expression in testis (RPKM 14.8), adrenal (RPKM 11.0) and 25 other tissues
FAM174B	chr15	92617443	92809884	-	ENSG00000185442.12	protein_coding	-	15q26.1	family with sequence similarity 174 member B	-
FAM174C	chr19	 1275530	1279228	+	ENSG00000228300	protein-coding	C19orf24	19p13.3	family with sequence similarity 174 member C	Ubiquitous expression in fat (RPKM 14.6), kidney (RPKM 13.8) and 25 other tissues
FAM177A1	chr14	35044907	35113130	+	ENSG00000151327.12	protein_coding	C14orf24	14q13.2	family with sequence similarity 177 member A1	This gene encodes a member of a conserved protein family. Alternative splicing results in multiple transcript variants. This gene is thought to be associated with susceptibility to juvenile idiopathic arthritis. [provided by RefSeq, Apr 2017]
FAM177B	chr1	222737207	222750805	+	ENSG00000197520.10	protein_coding	-	1q41	family with sequence similarity 177 member B	-
FAM178B	chr2	96875882	96986592	-	ENSG00000168754.14	protein_coding	-	2q11.2	family with sequence similarity 178 member B	-
FAM180A	chr7	135728348	135748846	-	ENSG00000189320.8	protein_coding	UNQ1940	7q33	family with sequence similarity 180 member A	Predicted to be located in extracellular region. [provided by Alliance of Genome Resources, Apr 2022]
FAM180B	chr11	47586693	47589194	+	ENSG00000196666.4	protein_coding	-	11p11.2	family with sequence similarity 180 member B	-
FAM182A	chr20	26054655	26086917	+	ENSG00000125804.13	processed_transcript	C20orf91|C20orf91A	20p11.1	family with sequence similarity 182 member A	Biased expression in brain (RPKM 1.5), testis (RPKM 0.8) and 9 other tissues
FAM182B	chr20	25763466	25868225	-	ENSG00000175170.14	protein_coding	-	20p11.1	family with sequence similarity 182 member B	-
FAM183A	chr1	43145153	43156396	+	ENSG00000186973.10	protein_coding	-	1p34.2	family with sequence similarity 183 member A	Biased expression in skin (RPKM 1.4), lung (RPKM 1.0) and 5 other tissues
FAM183BP	chr7	38685346	38687037	-	ENSG00000164556.7	processed_pseudogene	FAM183B|THEG6	7p14.1	acyloxyacyl hydrolase (neutrophil)	THEG6; FAM183B
FAM183DP	chr2	102249857	102250255	-	ENSG00000205716.4	processed_pseudogene	-	2q12.1	family with sequence similarity 183 member D, pseudogene	-
FAM184A	chr6	118959763	119149387	-	ENSG00000111879.18	protein_coding	C6orf60	6q22.31	family with sequence similarity 184 member A	Broad expression in testis (RPKM 10.2), placenta (RPKM 7.8) and 17 other tissues
FAM184B	chr4	17629306	17781512	-	ENSG00000047662.4	protein_coding	-	4p15.32-p15.31	family with sequence similarity 184 member B	-
FAM185A	chr7	102748971	102809225	+	ENSG00000222011.8	protein_coding	-	7q22.1	family with sequence similarity 185 member A	-
FAM185BP	chr7	77083886	77122116	-	ENSG00000214439.3	unprocessed_pseudogene	FAM185B	7q11.23	family with sequence similarity 185, member A pseudogene	-
FAM186A	chr12	50326230	50396622	-	ENSG00000185958.9	protein_coding	-	12q13.12	family with sequence similarity 186 member A	-
FAM186B	chr12	49582885	49605639	-	ENSG00000135436.8	protein_coding	C12orf25	12q13.12	family with sequence similarity 186 member B	This gene product is a member of the FAM186 family, however, its exact function is not known. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Sep 2009]
FAM187A	chr17	44899712	44905390	+	ENSG00000214447.4	protein_coding	-	17q21.31	family with sequence similarity 187 member A	-
FAM187B2P	chr19	35232291	35233003	-	ENSG00000262497.1	unprocessed_pseudogene	-	19q13.12	family with sequence similarity 187, member B pseudogene	-
FAM189A2	chr9	69324572	69392455	+	ENSG00000135063.17	protein_coding	C9orf61|ENTREP|X123	9q21.12	family with sequence similarity 189 member A2	Broad expression in thyroid (RPKM 15.5), lung (RPKM 12.0) and 14 other tissues
FAM189B	chr1	155247205	155255483	-	ENSG00000160767.20	protein_coding	C1orf2|COTE1	1q22	family with sequence similarity 189 member B	This gene is located near the gene for the lysosomal enzyme glucosylceramidase; a deficiency in this enzyme is associated with Gaucher disease. The encoded protein has been identified as a potential binding partner of a WW domain-containing protein which is involved in apoptosis and tumor suppression. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2010]
FAM193A	chr4	2536631	2732565	+	ENSG00000125386.15	protein_coding	C4orf8|RES4-22	4p16.3	family with sequence similarity 193 member A	Ubiquitous expression in testis (RPKM 11.8), ovary (RPKM 5.7) and 25 other tissues
FAM193B	chr5	177519788	177554541	-	ENSG00000146067.15	protein_coding	IRIZIO	5q35.3	family with sequence similarity 193 member B	Ubiquitous expression in spleen (RPKM 18.5), skin (RPKM 16.9) and 25 other tissues
FAM200A	chr7	99546308	99558536	-	ENSG00000221909.2	protein_coding	C7orf38	7q22.1	family with sequence similarity 200 member A	This gene encodes a protein of unknown function. The protein is weakly similar to transposase-like proteins in human and mouse. [provided by RefSeq, Jul 2008]
FAM200B	chr4	15681662	15705565	+	ENSG00000237765.6	protein_coding	C4orf53	4p15.32	family with sequence similarity 200 member B	Ubiquitous expression in brain (RPKM 6.0), thyroid (RPKM 5.5) and 25 other tissues
FAM205A	chr9	34723055	34729467	-	ENSG00000205108.5	protein_coding	C9orf144B	9p13.3	family with sequence similarity 205 member A	Restricted expression toward testis (RPKM 19.0)
FAM209B	chr20	56533246	56536520	+	ENSG00000213714.1	protein_coding	C20orf107|dJ1153D9.4	20q13.31	family with sequence similarity 209 member B	Restricted expression toward testis (RPKM 8.4)
FAM20A	chr17	68535113	68601389	-	ENSG00000108950.11	protein_coding	AI1G|AIGFS|FP2747	17q24.2	FAM20A golgi associated secretory pathway pseudokinase	This locus encodes a protein that is likely secreted and may function in hematopoiesis. A mutation at this locus has been associated with amelogenesis imperfecta and gingival hyperplasia syndrome. Alternatively spliced transcript variants have been identified. [provided by RefSeq, Aug 2011]
FAM20B	chr1	179025804	179076562	+	ENSG00000116199.11	protein_coding	gxk1	1q25.2	FAM20B glycosaminoglycan xylosylkinase	Ubiquitous expression in adrenal (RPKM 13.7), brain (RPKM 12.6) and 25 other tissues
FAM20C	chr7	192969	260745	+	ENSG00000177706.8	protein_coding	DMP-4|DMP4|G-CK|GEF-CK|RNS	7p22.3	FAM20C golgi associated secretory pathway kinase	This gene encodes a member of the family of secreted protein kinases. The encoded protein binds calcium and phosphorylates proteins involved in bone mineralization. Mutations in this gene are associated with the autosomal recessive disorder Raine syndrome. [provided by RefSeq, Apr 2014]
FAM210A	chr18	13663347	13726663	-	ENSG00000177150.12	protein_coding	C18orf19|HsT2329	18p11.21	family with sequence similarity 210 member A	Ubiquitous expression in heart (RPKM 6.1), testis (RPKM 3.9) and 25 other tissues
FAM210B	chr20	56358915	56368663	+	ENSG00000124098.9	protein_coding	5A3|C20orf108|dJ1167H4.1	20q13.2	family with sequence similarity 210 member B	Ubiquitous expression in ovary (RPKM 51.5), adrenal (RPKM 50.1) and 25 other tissues
FAM214A	chr15	52581317	52709817	-	ENSG00000047346.12	protein_coding	KIAA1370	15q21.2-q21.3	family with sequence similarity 214 member A	Ubiquitous expression in fat (RPKM 18.5), testis (RPKM 13.2) and 25 other tissues
FAM214B	chr9	35104112	35116341	-	ENSG00000005238.19	protein_coding	KIAA1539	9p13.3	family with sequence similarity 214 member B	Ubiquitous expression in bone marrow (RPKM 10.7), spleen (RPKM 6.4) and 24 other tissues
FAM215B	chr17	46558830	46562795	-	ENSG00000232300.1	lincRNA	ARL17A-IT1	17q21.31	family with sequence similarity 215 member B	-
FAM216A	chr12	110468364	110490385	+	ENSG00000204856.11	protein_coding	C12orf24|HSU79274	12q24.11	family with sequence similarity 216 member A	Biased expression in testis (RPKM 25.9), brain (RPKM 7.8) and 12 other tissues
FAM216B	chr13	42781550	42791549	+	ENSG00000179813.6	protein_coding	C13orf30	13q14.11	family with sequence similarity 216 member B	Biased expression in lung (RPKM 8.2), heart (RPKM 4.2) and 3 other tissues
FAM217B	chr20	59933764	59948680	+	ENSG00000196227.10	protein_coding	C20orf177|dJ551D2.5	20q13.33	family with sequence similarity 217 member B	Ubiquitous expression in brain (RPKM 13.3), testis (RPKM 5.2) and 23 other tissues
FAM219A	chr9	34398184	34458570	-	ENSG00000164970.14	protein_coding	C9orf25	9p13.3	family with sequence similarity 219 member A	The protein encoded by this gene has homologs that have been identified in mouse, macaque, etc organisms. Multiple alternatively spliced transcript variants that encode different protein isoforms have been described for this gene. [provided by RefSeq, Dec 2010]
FAM219B	chr15	74899987	74907121	-	ENSG00000178761.14	protein_coding	C15orf17	15q24.1-q24.2	family with sequence similarity 219 member B	Ubiquitous expression in fat (RPKM 16.4), prostate (RPKM 16.2) and 25 other tissues
FAM21FP	chr10	45706431	45727231	-	ENSG00000237840.6	transcribed_unprocessed_pseudogene	-	10q11.22	family with sequence similarity 21 member F, pseudogene	-
FAM220A	chr7	6329409	6348981	-	ENSG00000178397.12	protein_coding	ACPIN1|C7orf70|SIPAR	7p22.1	family with sequence similarity 220 member A	Broad expression in testis (RPKM 42.1), brain (RPKM 9.5) and 22 other tissues
FAM221A	chr7	23680130	23703249	+	ENSG00000188732.10	protein_coding	C7orf46	7p15.3	family with sequence similarity 221 member A	Broad expression in testis (RPKM 6.7), stomach (RPKM 4.2) and 25 other tissues
FAM221B	chr9	35816391	35828747	-	ENSG00000204930.9	protein_coding	C9orf128	9p13.3	family with sequence similarity 221 member B	Biased expression in testis (RPKM 2.8) and prostate (RPKM 0.2)
FAM222A	chr12	109714228	109770507	+	ENSG00000139438.5	protein_coding	C12orf34	12q24.11	family with sequence similarity 222 member A	Broad expression in testis (RPKM 6.4), brain (RPKM 5.9) and 16 other tissues
FAM222B	chr17	28755978	28855232	-	ENSG00000173065.13	protein_coding	C17orf63	17q11.2	family with sequence similarity 222 member B	Broad expression in testis (RPKM 12.8), duodenum (RPKM 3.8) and 24 other tissues
FAM227A	chr22	38578120	38656629	-	ENSG00000184949.15	protein_coding	-	22q13.1	family with sequence similarity 227 member A	-
FAM227B	chr15	49326962	49620931	-	ENSG00000166262.15	protein_coding	C15orf33	15q21.2	family with sequence similarity 227 member B	Ubiquitous expression in testis (RPKM 2.0), kidney (RPKM 1.4) and 25 other tissues
